Parcela,Ag_Avima_matintaperera,Ag_Avima_sp1,Ag_Gen1_sp1,Bi_Stenostygnus_pusio,Co_Cynorta_bacuzinho,Co_Cynortellula_bimaculata,Co_Eucynortella_duapunctata,Co_Gen1_sp1,Co_Gen1_sp2,Co_Gen2_sp1,Co_Gen2_sp2,Co_Metalibitia_sp1,Co_Paecilaema_manifestum,Co_Paecilaema_marajoara,Co_Paecilaema_sp1,Co_Sibambea_sp1,Co_Taito_oblongatus,Co_Taito_sp1,Co_Taito_spaceinvaders,Cr_Callcosma_sp1,Cr_Gen1_sp1,Cr_Phareicranaus_manauara,Es_Gen1_sp1,Es_Gen2_sp1,Es_Gen2_sp2,Fi_Fissiphallius_martensi,Fi_Fissiphallius_tucupi,Go_Discocyrtus_carvalhoi,Go_Discocyrtus_troll,Ma_Gen1_sp1,Ma_Manaosbia_ducke,Ma_Rhopalocranaus_ricardoi,Ma_Rhopalocranaus_rotundus,Ma_Rhopalocranaus_sp1,Ma_Saramacia_lucasae,Ne_Gen1_sp1,Sa_Gen1_sp1,Sa_Gen2_sp1,Sa_Gen3_sp1,Sa_Maracaynatum_sp1,Sc_Caluga_guarana,Sc_Caluga_vendetta,Sc_Geaya_tostada,Sc_Gen1_sp1_a,Sc_Gen1_sp1_b,Sc_Gen1_sp2,Sc_Gen1_sp3,Sc_Gen1_sp3_b,Sc_Gen1_sp4,Sc_Gen2_sp1,Sc_Gen2_sp2,Sc_Gen3_sp1,Sc_Gen3_sp2,Sc_Prionostemma_catu,St_Auranus_hoeferscovitorum,St_Gen1_sp1,St_Protimesius_frodo,St_Protimesius_jirau,St_Protimesius_longipalpis,St_Protimesius_sp1,St_Stygnidius_sp1,St_Stygnus_aff_lesserti,St_Stygnus_aff_pectinipes,St_Stygnus_armatus,St_Stygnus_pectinipes,St_Stygnus_sp1,Za_Chamaia_sharmani,Za_Gen1_sp1,Za_Gen2_sp1,Za_Pirassunungoleptes_oitomeias,Latitude,Longitude
DU_LO6_1500,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.9703,-59.9489
DU_LO6_2500,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.9689,-59.9401
DU_LO6_3500,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.9674,-59.9312
DU_LO6_4500,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9660,-59.9224
DU_LO7_0500,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,-2.9805,-59.9565
DU_LO7_1500,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.9471,-59.9476
DU_LO7_2500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9777,-59.9387
DU_LO7_3500,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.9763,-59.9298
DU_LO7_4500,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,-2.9749,-59.9210
DU_LO8_0500,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9894,-59.9551
